M1	M2	distance	distance_zscore
4	3	544.262634	-1.267783
7	3	685.969849	-0.085226
7	4	674.692017	-0.179340
16	3	754.033813	0.482773
16	4	748.512207	0.436695
16	7	783.499146	0.728664
21	3	568.117004	-1.068717
21	4	520.640442	-1.464912
21	7	573.374817	-1.024840
21	16	685.765747	-0.086929
22	3	629.423828	-0.557107
22	4	580.046326	-0.969166
22	7	664.557373	-0.263915
22	16	770.181396	0.617526
22	21	400.480713	-2.467655
23	3	776.383667	0.669284
23	4	740.027588	0.365890
23	7	783.715698	0.730471
23	16	821.186707	1.043169
23	21	614.615112	-0.680687
23	22	406.143738	-2.420396
24	3	785.035156	0.741482
24	4	722.141724	0.216631
24	7	782.426270	0.719710
24	16	850.007080	1.283677
24	21	640.357361	-0.465866
24	22	573.726868	-1.021902
24	23	471.420502	-1.875657
32	3	812.859131	0.973675
32	4	770.797607	0.622668
32	7	824.366638	1.069706
32	16	898.465942	1.688070
32	21	795.832214	0.831584
32	22	860.618652	1.372232
32	23	895.800781	1.665829
32	24	901.724609	1.715264
34	3	595.209900	-0.842625
34	4	597.169006	-0.826276
34	7	514.949219	-1.512406
34	16	738.743896	0.355178
34	21	458.859680	-1.980478
34	22	582.525391	-0.948478
34	23	725.572327	0.245260
34	24	736.705017	0.338163
34	32	753.918030	0.481807
36	3	747.788757	0.430658
36	4	691.272644	-0.040974
36	7	795.196716	0.826281
36	16	817.254456	1.010354
36	21	569.175537	-1.059883
36	22	642.290222	-0.449736
36	23	585.642151	-0.922468
36	24	453.350739	-2.026450
36	32	895.415405	1.662613
36	34	706.237000	0.083905
37	3	595.844116	-0.837332
37	4	587.761597	-0.904781
37	7	648.357605	-0.399103
37	16	381.202515	-2.628533
37	21	499.255951	-1.643368
37	22	617.041260	-0.660440
37	23	701.867065	0.047438
37	24	722.653137	0.220899
37	32	821.685303	1.047330
37	34	576.489319	-0.998849
37	36	722.177429	0.216929
38	3	711.617981	0.128810
38	4	690.909729	-0.044002
38	7	731.809753	0.297312
38	16	784.301636	0.735361
38	21	614.096069	-0.685018
38	22	691.991577	-0.034974
38	23	815.836487	0.998521
38	24	814.491150	0.987294
38	32	850.732727	1.289733
38	34	661.581787	-0.288746
38	36	773.938110	0.648876
38	37	669.746521	-0.220611
39	3	766.352905	0.585577
39	4	626.080078	-0.585011
39	7	728.266052	0.267739
39	16	827.279419	1.094013
39	21	655.416992	-0.340192
39	22	726.932800	0.256613
39	23	819.214722	1.026713
39	24	827.698242	1.097509
39	32	828.735718	1.106166
39	34	735.650513	0.329363
39	36	807.315002	0.927409
39	37	624.934814	-0.594568
39	38	774.858582	0.656558
