M1	M2	max_distance	max_distance_zscore
2	9	1267.380981	1.482189
5	28	1235.831665	1.236597
8	29	1188.039917	0.864569
9	2	1267.380981	1.482189
13	9	1254.561768	1.382399
14	28	1233.519653	1.218600
15	29	1206.033569	1.004638
21	9	1264.557007	1.460206
23	29	1229.905762	1.190468
24	9	1229.781006	1.189497
26	9	1223.271362	1.138823
27	28	1239.142944	1.262374
28	27	1239.142944	1.262374
29	21	1260.126099	1.425714
30	9	1215.480835	1.078179
31	9	1264.470947	1.459536
32	9	1202.082275	0.973880
