M1	M2	distance	distance_zscore
5	2	1176.697876	0.776278
8	2	1133.559937	0.440476
8	5	1155.464600	0.610990
9	2	1267.380981	1.482189
9	5	1227.719727	1.173451
9	8	896.750549	-1.402936
13	2	1147.534302	0.549258
13	5	1177.951294	0.786035
13	8	1046.862183	-0.234411
13	9	1254.561768	1.382399
14	2	1136.271606	0.461585
14	5	1180.845825	0.808567
14	8	1112.036255	0.272928
14	9	1217.614868	1.094791
14	13	763.519836	-2.440053
15	2	1103.588013	0.207164
15	5	1205.530518	1.000722
15	8	997.902161	-0.615534
15	9	1037.404541	-0.308033
15	13	1070.628662	-0.049404
15	14	967.802551	-0.849841
21	2	1119.107422	0.327973
21	5	1175.735352	0.768785
21	8	1028.079834	-0.380620
21	9	1264.557007	1.460206
21	13	1081.053223	0.031745
21	14	1134.699585	0.449348
21	15	1064.513550	-0.097006
23	2	1096.833008	0.154580
23	5	1135.613037	0.456458
23	8	980.175781	-0.753523
23	9	1224.330078	1.147065
23	13	1028.635376	-0.376295
23	14	1111.322388	0.267371
23	15	1008.012573	-0.536831
23	21	937.743164	-1.083834
24	2	1097.419800	0.159148
24	5	1146.050537	0.537708
24	8	933.214844	-1.119084
24	9	1229.781006	1.189497
24	13	1046.113281	-0.240241
24	14	1073.620728	-0.026113
24	15	1009.101929	-0.528351
24	21	924.152222	-1.189631
24	23	840.669922	-1.839488
26	2	853.178467	-1.742117
26	5	1141.927002	0.505609
26	8	1059.871460	-0.133142
26	9	1223.271362	1.138823
26	13	1071.309448	-0.044104
26	14	1127.389893	0.392446
26	15	1090.026733	0.101598
26	21	995.064880	-0.637620
26	23	1005.367920	-0.557418
26	24	989.370483	-0.681948
27	2	1136.602905	0.464164
27	5	1155.524902	0.611460
27	8	1127.574951	0.393887
27	9	1223.461304	1.140302
27	13	1129.858887	0.411666
27	14	1151.272217	0.578355
27	15	1154.857666	0.606266
27	21	1157.634888	0.627885
27	23	1122.830444	0.356954
27	24	1131.226562	0.422313
27	26	1102.457397	0.198363
28	2	1222.053467	1.129343
28	5	1235.831665	1.236597
28	8	1091.928467	0.116402
28	9	888.391602	-1.468005
28	13	1189.427490	0.875370
28	14	1233.519653	1.218600
28	15	977.611816	-0.773482
28	21	1129.583984	0.409526
28	23	1129.271973	0.407097
28	24	1124.685425	0.371394
28	26	1189.427490	0.875370
28	27	1239.142944	1.262374
29	2	1134.948730	0.451287
29	5	1203.044067	0.981367
29	8	1188.039917	0.864569
29	9	1239.725586	1.266909
29	13	1228.658691	1.180760
29	14	1198.136841	0.943167
29	15	1206.033569	1.004638
29	21	1260.126099	1.425714
29	23	1229.905762	1.190468
29	24	1206.710327	1.009906
29	26	1183.886353	0.832236
29	27	1115.633789	0.300933
29	28	1173.202881	0.749072
30	2	966.644287	-0.858857
30	5	1124.123047	0.367016
30	8	917.497681	-1.241432
30	9	1215.480835	1.078179
30	13	1012.941711	-0.498461
30	14	1077.878418	0.007031
30	15	962.647034	-0.889973
30	21	879.390076	-1.538076
30	23	877.713013	-1.551131
30	24	884.237549	-1.500341
30	26	870.315735	-1.608714
30	27	1093.145386	0.125875
30	28	1068.953003	-0.062448
30	29	1165.814209	0.691556
31	2	1165.471313	0.688886
31	5	1140.309570	0.493018
31	8	1027.619751	-0.384201
31	9	1264.470947	1.459536
31	13	1083.434570	0.050282
31	14	1153.256104	0.593799
31	15	1074.694946	-0.017750
31	21	908.172485	-1.314023
31	23	1003.704163	-0.570369
31	24	998.575989	-0.610289
31	26	1062.120605	-0.115634
31	27	1015.902161	-0.475415
31	28	1111.928833	0.272092
31	29	1175.332031	0.765646
31	30	956.574707	-0.937242
32	2	1040.813599	-0.281495
32	5	1088.940796	0.093144
32	8	831.560730	-1.910397
32	9	1202.082275	0.973880
32	13	931.137695	-1.135253
32	14	1033.067017	-0.341798
32	15	899.749573	-1.379590
32	21	742.023560	-2.607388
32	23	716.074280	-2.809387
32	24	732.951233	-2.678010
32	26	875.716309	-1.566674
32	27	1049.182129	-0.216352
32	28	1006.411926	-0.549291
32	29	1177.300293	0.780968
32	30	668.246155	-3.181699
32	31	877.847839	-1.550081
