iteration	action	c	a	b	distance	shift	window_shift	SI_c	SI_a	SI_b	KL_c	KL_a	KL_b	SI_complete_c	SI_complete_a	SI_complete_b	KL_complete_c	KL_complete_a	KL_complete_b
0	J	6	0	5	350.710632	0	0	0.466547	0.846775	0.443975	0.218309	0.578140	0.216133	0.868712	1.096849	1.090901	0.619557	0.835456	0.841505
1	J	7	2	6	565.488586	-1	0	0.626138	1.266987	0.479777	0.355291	0.976638	0.228432	0.956528	1.210510	0.868712	0.695672	0.935122	0.619557
2	J	8	4	7	708.616455	-1	0	0.639683	1.313791	0.626138	0.413946	1.133164	0.355291	0.964656	1.471414	0.956528	0.730865	1.257032	0.695672
3	J	9	3	8	736.052307	9	4	0.864505	1.562598	0.779095	0.621776	1.333887	0.522347	1.271669	1.690525	0.964656	1.042889	1.470156	0.730865
