M1	M2	min_distance	min_distance_zscore
0	1	107.434990	-3.487165
1	2	45.905632	-3.838320
2	1	45.905632	-3.838320
3	2	180.303467	-3.071295
4	21	520.640442	-1.128951
5	6	306.974487	-2.348369
6	5	306.974487	-2.348369
7	6	503.180847	-1.228595
8	9	233.939667	-2.765187
9	10	20.054367	-3.985857
10	9	20.054367	-3.985857
11	10	27.670416	-3.942391
12	11	77.697861	-3.656878
13	12	92.798416	-3.570698
14	13	251.861877	-2.662903
15	14	299.367279	-2.391784
16	17	327.055969	-2.233761
17	18	290.478699	-2.442512
18	19	178.959702	-3.078964
19	20	50.290493	-3.813296
20	19	50.290493	-3.813296
21	20	55.226944	-3.785123
22	21	400.480713	-1.814717
23	22	406.143738	-1.782398
24	25	457.436646	-1.489663
25	26	256.264465	-2.637777
26	25	256.264465	-2.637777
