M1	M2	distance	distance_zscore
1	0	107.434990	-3.487165
2	0	486.741699	-1.322415
2	1	45.905632	-3.838320
3	0	805.585327	0.497264
3	1	462.823364	-1.458920
3	2	180.303467	-3.071295
4	0	769.167969	0.289426
4	1	789.395508	0.404867
4	2	670.467163	-0.273872
4	3	544.262634	-0.994136
5	0	827.834106	0.624240
5	1	829.877319	0.635901
5	2	781.510803	0.359868
5	3	769.933716	0.293796
5	4	637.734009	-0.460684
6	0	852.825562	0.766870
6	1	882.526489	0.936377
6	2	786.232117	0.386813
6	3	807.083374	0.505813
6	4	748.185547	0.169676
6	5	306.974487	-2.348369
7	0	817.368591	0.564512
7	1	764.042542	0.260174
7	2	676.591064	-0.238922
7	3	685.969849	-0.185396
7	4	674.692017	-0.249760
7	5	737.001709	0.105849
7	6	503.180847	-1.228595
8	0	753.898560	0.202281
8	1	710.832764	-0.043500
8	2	552.424927	-0.947553
8	3	601.829834	-0.665593
8	4	607.171265	-0.635109
8	5	742.698303	0.138360
8	6	492.939484	-1.287044
8	7	519.460693	-1.135684
9	0	755.022583	0.208696
9	1	741.478271	0.131397
9	2	588.168518	-0.743560
9	3	618.504333	-0.570430
9	4	609.805481	-0.620075
9	5	766.799438	0.275908
9	6	731.960449	0.077078
9	7	561.441223	-0.896096
9	8	233.939667	-2.765187
10	0	931.937500	1.218371
10	1	928.209106	1.197093
10	2	826.209229	0.614967
10	3	778.487366	0.342613
10	4	734.792725	0.093242
10	5	818.777527	0.572553
10	6	911.657593	1.102631
10	7	797.650635	0.451980
10	8	409.302734	-1.764369
10	9	20.054367	-3.985857
11	0	940.631958	1.267992
11	1	961.103943	1.384828
11	2	899.026672	1.030545
11	3	908.163757	1.082692
11	4	862.895020	0.824337
11	5	903.788269	1.057720
11	6	913.241150	1.111669
11	7	841.947632	0.704788
11	8	845.228271	0.723511
11	9	529.019714	-1.081130
11	10	27.670416	-3.942391
12	0	938.370728	1.255086
12	1	929.123474	1.202311
12	2	889.907959	0.978503
12	3	854.199829	0.774713
12	4	818.794373	0.572650
12	5	919.393738	1.146782
12	6	940.770325	1.268781
12	7	839.476929	0.690687
12	8	821.194702	0.586349
12	9	834.891907	0.664520
12	10	698.121948	-0.116043
12	11	77.697861	-3.656878
13	0	862.580566	0.822543
13	1	800.155457	0.466275
13	2	724.653503	0.035376
13	3	741.339478	0.130605
13	4	733.880371	0.088035
13	5	781.352600	0.358965
13	6	813.102539	0.540166
13	7	779.260559	0.347025
13	8	710.360168	-0.046198
13	9	706.427612	-0.068641
13	10	917.686279	1.137038
13	11	659.834961	-0.334551
13	12	92.798416	-3.570698
14	0	849.723816	0.749168
14	1	789.726318	0.406755
14	2	684.176636	-0.195630
14	3	716.769104	-0.009621
14	4	692.538208	-0.147910
14	5	784.310669	0.375847
14	6	820.914124	0.584747
14	7	726.594604	0.046454
14	8	680.209167	-0.218273
14	9	676.294128	-0.240617
14	10	839.609009	0.691441
14	11	919.310181	1.146306
14	12	639.901062	-0.448316
14	13	251.861877	-2.662903
15	0	854.259766	0.775055
15	1	825.348511	0.610055
15	2	723.974426	0.031501
15	3	754.944031	0.208248
15	4	733.206055	0.084187
15	5	807.250854	0.506769
15	6	842.737061	0.709293
15	7	786.562073	0.388696
15	8	716.923767	-0.008738
15	9	718.962402	0.002896
15	10	881.253784	0.929113
15	11	932.995605	1.224410
15	12	913.514160	1.113227
15	13	321.135498	-2.267550
15	14	299.367279	-2.391784
16	0	893.059021	0.996487
16	1	795.219910	0.438107
16	2	766.691528	0.275292
16	3	754.033813	0.203053
16	4	748.512207	0.171541
16	5	836.522949	0.673829
16	6	868.737915	0.857683
16	7	783.499146	0.371215
16	8	751.641174	0.189398
16	9	755.642578	0.212235
16	10	921.245300	1.157349
16	11	932.906982	1.223904
16	12	914.170593	1.116973
16	13	818.656738	0.571864
16	14	791.354370	0.416046
16	15	826.133606	0.614536
17	0	850.554993	0.753911
17	1	749.175354	0.175325
17	2	680.680969	-0.215580
17	3	645.403992	-0.416910
17	4	650.528015	-0.387667
17	5	678.666321	-0.227078
17	6	818.060120	0.568459
17	7	691.398682	-0.154413
17	8	650.952271	-0.385246
17	9	672.857910	-0.260228
17	10	782.655151	0.366399
17	11	884.451477	0.947363
17	12	819.321228	0.575656
17	13	746.802490	0.161783
17	14	712.400085	-0.034556
17	15	755.408142	0.210897
17	16	327.055969	-2.233761
18	0	813.131714	0.540332
18	1	743.957520	0.145547
18	2	647.496582	-0.404968
18	3	601.687683	-0.666405
18	4	598.009644	-0.687396
18	5	642.585999	-0.432993
18	6	800.252808	0.466831
18	7	665.262512	-0.303575
18	8	594.616333	-0.706762
18	9	593.532898	-0.712945
18	10	740.046814	0.123228
18	11	844.386780	0.718709
18	12	792.951599	0.425162
18	13	702.721619	-0.089792
18	14	669.645325	-0.278562
18	15	714.804810	-0.020831
18	16	406.980225	-1.777624
18	17	290.478699	-2.442512
19	0	824.838806	0.607146
19	1	801.291809	0.472760
19	2	761.704590	0.246831
19	3	768.839844	0.287553
19	4	720.423096	0.011233
19	5	762.129333	0.249255
19	6	788.839417	0.401693
19	7	739.080444	0.117713
19	8	624.892944	-0.533969
19	9	656.366211	-0.354348
19	10	808.535156	0.514099
19	11	897.454590	1.021573
19	12	894.197449	1.002984
19	13	730.758423	0.070218
19	14	727.457642	0.051380
19	15	768.905884	0.287930
19	16	843.707947	0.714834
19	17	409.363525	-1.764022
19	18	178.959702	-3.078964
20	0	781.357361	0.358992
20	1	678.288818	-0.229233
20	2	585.919800	-0.756394
20	3	610.588257	-0.615608
20	4	557.842285	-0.916636
20	5	724.926880	0.036936
20	6	793.423767	0.427856
20	7	635.163452	-0.475354
20	8	553.369202	-0.942164
20	9	589.053040	-0.738512
20	10	713.280518	-0.029531
20	11	889.331177	0.975212
20	12	814.927490	0.550581
20	13	738.010925	0.111609
20	14	701.231934	-0.098294
20	15	752.208679	0.192637
20	16	757.110718	0.220613
20	17	639.925720	-0.448176
20	18	214.152496	-2.878115
20	19	50.290493	-3.813296
21	0	784.888794	0.379146
21	1	655.010376	-0.362086
21	2	588.512268	-0.741598
21	3	568.117004	-0.857997
21	4	520.640442	-1.128951
21	5	666.757080	-0.295046
21	6	761.247498	0.244223
21	7	573.374817	-0.827990
21	8	468.956024	-1.423920
21	9	522.211060	-1.119987
21	10	667.995850	-0.287976
21	11	813.043152	0.539827
21	12	801.794556	0.475630
21	13	657.524475	-0.347737
21	14	619.340759	-0.565656
21	15	665.880188	-0.300050
21	16	685.765747	-0.186561
21	17	558.847778	-0.910897
21	18	497.690765	-1.259928
21	19	418.957428	-1.709268
21	20	55.226944	-3.785123
22	0	851.996216	0.762137
22	1	767.714844	0.281133
22	2	655.828003	-0.357419
22	3	629.423828	-0.508111
22	4	580.046326	-0.789914
22	5	733.308594	0.084772
22	6	828.556091	0.628361
22	7	664.557373	-0.307600
22	8	583.163818	-0.772123
22	9	624.049438	-0.538783
22	10	708.995117	-0.053988
22	11	849.092041	0.745562
22	12	850.076050	0.751178
22	13	731.950562	0.077021
22	14	697.255737	-0.120986
22	15	739.232849	0.118582
22	16	770.181396	0.295209
22	17	666.540466	-0.296282
22	18	618.974670	-0.567746
22	19	723.232727	0.027268
22	20	460.555756	-1.471862
22	21	400.480713	-1.814717
23	0	891.002930	0.984753
23	1	894.190857	1.002946
23	2	809.438965	0.519257
23	3	776.383667	0.330607
23	4	740.027588	0.123118
23	5	825.169373	0.609033
23	6	905.747498	1.068902
23	7	783.715698	0.372451
23	8	737.469055	0.108516
23	9	738.525269	0.114544
23	10	830.770996	0.641002
23	11	981.794250	1.502910
23	12	971.095520	1.441851
23	13	846.469604	0.730595
23	14	825.566284	0.611298
23	15	850.596436	0.754148
23	16	821.186707	0.586303
23	17	754.409485	0.205197
23	18	700.932068	-0.100005
23	19	806.015869	0.499721
23	20	753.365173	0.199237
23	21	614.615112	-0.592626
23	22	406.143738	-1.782398
24	0	898.143921	1.025507
24	1	812.063354	0.534235
24	2	814.183167	0.546333
24	3	785.035156	0.379982
24	4	722.141724	0.021041
24	5	833.358032	0.655766
24	6	904.536316	1.061989
24	7	782.426270	0.365092
24	8	751.538208	0.188810
24	9	746.254456	0.158655
24	10	857.661743	0.794470
24	11	950.317505	1.323268
24	12	957.424255	1.363827
24	13	871.449280	0.873158
24	14	814.756165	0.549603
24	15	858.011597	0.796467
24	16	850.007080	0.750784
24	17	753.529297	0.200174
24	18	732.575195	0.080586
24	19	809.486450	0.519528
24	20	695.036316	-0.133653
24	21	640.357361	-0.445712
24	22	573.726868	-0.825980
24	23	471.420502	-1.409855
25	0	888.614868	0.971124
25	1	829.038208	0.631112
25	2	782.939087	0.368019
25	3	744.441040	0.148306
25	4	691.461182	-0.154056
25	5	818.391174	0.570349
25	6	858.730530	0.800570
25	7	796.674561	0.446409
25	8	714.656738	-0.021677
25	9	725.122375	0.038052
25	10	834.660767	0.663201
25	11	935.610657	1.239334
25	12	940.013184	1.264460
25	13	796.090393	0.443075
25	14	785.263794	0.381287
25	15	825.251587	0.609502
25	16	815.807007	0.555600
25	17	769.585999	0.291811
25	18	726.777100	0.047496
25	19	778.536926	0.342895
25	20	625.078552	-0.532910
25	21	571.114990	-0.840887
25	22	642.266663	-0.434815
25	23	584.970764	-0.761810
25	24	457.436646	-1.489663
26	0	894.264282	1.003366
26	1	880.848694	0.926801
26	2	801.151428	0.471959
26	3	760.762756	0.241456
26	4	742.603027	0.137816
26	5	839.503723	0.690840
26	6	869.580444	0.862492
26	7	811.117249	0.528835
26	8	818.090210	0.568631
26	9	829.949707	0.636314
26	10	854.413635	0.775933
26	11	909.955994	1.092920
26	12	879.730774	0.920421
26	13	785.641174	0.383440
26	14	774.104553	0.317599
26	15	806.528564	0.502647
26	16	795.413574	0.439213
26	17	805.952637	0.499360
26	18	768.952393	0.288195
26	19	793.416321	0.427814
26	20	772.547791	0.308715
26	21	722.192627	0.021332
26	22	785.928162	0.385078
26	23	886.426453	0.958634
26	24	532.085632	-1.063632
26	25	256.264465	-2.637777
