M1	M2	distance	distance_zscore
4	3	544.262634	-1.461663
7	3	685.969849	-0.162275
7	4	674.692017	-0.265687
23	3	776.383667	0.666777
23	4	740.027588	0.333409
23	7	783.715698	0.734008
24	3	785.035156	0.746107
24	4	722.141724	0.169404
24	7	782.426270	0.722185
24	23	471.420502	-2.129591
32	3	812.859131	1.001240
32	4	770.797607	0.615555
32	7	824.366638	1.106758
32	23	895.800781	1.761775
32	24	901.724609	1.816094
34	3	595.209900	-0.994501
34	4	597.169006	-0.976537
34	7	514.949219	-1.730453
34	23	725.572327	0.200861
34	24	736.705017	0.302942
34	32	753.918030	0.460778
36	3	747.788757	0.404575
36	4	691.272644	-0.113651
36	7	795.196716	0.839284
36	23	585.642151	-1.082232
36	24	453.350739	-2.295282
36	32	895.415405	1.758242
36	34	706.237000	0.023565
38	3	711.617981	0.072906
38	4	690.909729	-0.116979
38	7	731.809753	0.258055
38	23	815.836487	1.028540
38	24	814.491150	1.016204
38	32	850.732727	1.348523
38	34	661.581787	-0.385902
38	36	773.938110	0.644352
39	3	766.352905	0.574800
39	4	626.080078	-0.711436
39	7	728.266052	0.225561
39	23	819.214722	1.059517
39	24	827.698242	1.137307
39	32	828.735718	1.146820
39	34	735.650513	0.293273
39	36	807.315002	0.950403
39	38	774.858582	0.652793
40	3	620.488770	-0.762705
40	4	617.702209	-0.788257
40	7	671.761108	-0.292562
40	23	722.820496	0.175628
40	24	743.961243	0.369479
40	32	837.355408	1.225859
40	34	607.329590	-0.883369
40	36	748.733032	0.413234
40	38	692.239807	-0.104782
40	39	648.663696	-0.504355
41	3	573.519470	-1.193392
41	4	502.261871	-1.846790
41	7	574.554810	-1.183898
41	23	635.504761	-0.625016
41	24	647.273804	-0.517099
41	32	818.788330	1.055608
41	34	461.232056	-2.223014
41	36	557.969788	-1.335975
41	38	617.954895	-0.785940
41	39	658.680481	-0.412506
41	40	548.099487	-1.426481
