M1	M2	distance	distance_zscore
15	5	1205.530518	0.859802
27	5	1155.524902	0.369026
27	15	1154.857666	0.362477
29	5	1203.044067	0.835399
29	15	1206.033569	0.864739
29	27	1115.633789	-0.022483
36	5	1162.560303	0.438074
36	15	1066.441162	-0.505280
36	27	1136.282349	0.180171
36	29	1233.677734	1.136050
39	5	1153.386597	0.348039
39	15	1038.767090	-0.776885
39	27	1123.727905	0.056956
39	29	1203.820435	0.843018
39	36	1045.612549	-0.709701
40	5	1204.746094	0.852103
40	15	974.185364	-1.410717
40	27	1217.355469	0.975857
40	29	1204.465210	0.849346
40	36	1191.763794	0.724689
40	39	1179.844482	0.607708
41	5	1147.078491	0.286129
41	15	895.484619	-2.183119
41	27	1123.184692	0.051625
41	29	1192.538330	0.732291
41	36	941.621033	-1.730317
41	39	900.182800	-2.137009
41	40	924.537659	-1.897981
