profile	Shannon_Information	KL_divergence
5	2.483749	2.216925
27	2.851173	2.540217
29	2.868878	2.588862
36	2.056246	1.833105
39	2.021605	1.711382
40	2.424305	2.267768
42	1.171223	0.914728
