M1	M2	distance	distance_zscore
3	0	805.585327	0.472745
4	0	769.167969	0.243534
4	3	544.262634	-1.172024
5	0	827.834106	0.612780
5	3	769.933716	0.248354
5	4	637.734009	-0.583714
6	0	852.825562	0.770076
6	3	807.083374	0.482174
6	4	748.185547	0.111470
6	5	306.974487	-2.665520
7	0	817.368591	0.546910
7	3	685.969849	-0.280116
7	4	674.692017	-0.351099
7	5	737.001709	0.041079
7	6	503.180847	-1.430593
8	0	753.898560	0.147428
8	3	601.829834	-0.809695
8	4	607.171265	-0.776076
8	5	742.698303	0.076933
8	6	492.939484	-1.495053
8	7	519.460693	-1.328128
11	0	940.631958	1.322731
11	3	908.163757	1.118376
11	4	862.895020	0.833454
11	5	903.788269	1.090836
11	6	913.241150	1.150333
11	7	841.947632	0.701610
11	8	845.228271	0.722259
12	0	938.370728	1.308499
12	3	854.199829	0.778726
12	4	818.794373	0.555883
12	5	919.393738	1.189058
12	6	940.770325	1.323602
12	7	839.476929	0.686060
12	8	821.194702	0.570991
12	11	77.697861	-4.108591
13	0	862.580566	0.831474
13	3	741.339478	0.068381
13	4	733.880371	0.021433
13	5	781.352600	0.320224
13	6	813.102539	0.520059
13	7	779.260559	0.307057
13	8	710.360168	-0.126603
13	11	659.834961	-0.444610
13	12	92.798416	-4.013547
14	0	849.723816	0.750554
14	3	716.769104	-0.086265
14	4	692.538208	-0.238775
14	5	784.310669	0.338842
14	6	820.914124	0.569225
14	7	726.594604	-0.024424
14	8	680.209167	-0.316374
14	11	919.310181	1.188532
14	12	639.901062	-0.570074
14	13	251.861877	-3.012399
15	0	854.259766	0.779103
15	3	754.944031	0.154008
15	4	733.206055	0.017189
15	5	807.250854	0.483228
15	6	842.737061	0.706579
15	7	786.562073	0.353013
15	8	716.923767	-0.085292
15	11	932.995605	1.274668
15	12	913.514160	1.152051
15	13	321.135498	-2.576390
15	14	299.367279	-2.713400
16	0	893.059021	1.023306
16	3	754.033813	0.148279
16	4	748.512207	0.113526
16	5	836.522949	0.667467
16	6	868.737915	0.870229
16	7	783.499146	0.333735
16	8	751.641174	0.133220
16	11	932.906982	1.274110
16	12	914.170593	1.156183
16	13	818.656738	0.555017
16	14	791.354370	0.383176
16	15	826.133606	0.602077
17	0	850.554993	0.755785
17	3	645.403992	-0.535439
17	4	650.528015	-0.503188
17	5	678.666321	-0.326085
17	6	818.060120	0.551262
17	7	691.398682	-0.245947
17	8	650.952271	-0.500518
17	11	884.451477	0.969130
17	12	819.321228	0.559199
17	13	746.802490	0.102765
17	14	712.400085	-0.113764
17	15	755.408142	0.156929
17	16	327.055969	-2.539126
18	0	813.131714	0.520243
18	3	601.687683	-0.810590
18	4	598.009644	-0.833739
18	5	642.585999	-0.553175
18	6	800.252808	0.439182
18	7	665.262512	-0.410449
18	8	594.616333	-0.855097
18	11	844.386780	0.716962
18	12	792.951599	0.393229
18	13	702.721619	-0.174680
18	14	669.645325	-0.382863
18	15	714.804810	-0.098629
18	16	406.980225	-2.036082
18	17	290.478699	-2.769345
21	0	784.888794	0.342481
21	3	568.117004	-1.021884
21	4	520.640442	-1.320703
21	5	666.757080	-0.401042
21	6	761.247498	0.193682
21	7	573.374817	-0.988791
21	8	468.956024	-1.646005
21	11	813.043152	0.519685
21	12	801.794556	0.448886
21	13	657.524475	-0.459152
21	14	619.340759	-0.699481
21	15	665.880188	-0.406561
21	16	685.765747	-0.281401
21	17	558.847778	-1.080225
21	18	497.690765	-1.465148
22	0	851.996216	0.764856
22	3	629.423828	-0.636018
22	4	580.046326	-0.946801
22	5	733.308594	0.017834
22	6	828.556091	0.617324
22	7	664.557373	-0.414887
22	8	583.163818	-0.927179
22	11	849.092041	0.746577
22	12	850.076050	0.752771
22	13	731.950562	0.009287
22	14	697.255737	-0.209083
22	15	739.232849	0.055122
22	16	770.181396	0.249913
22	17	666.540466	-0.402405
22	18	618.974670	-0.701785
22	21	400.480713	-2.076990
23	0	891.002930	1.010365
23	3	776.383667	0.288950
23	4	740.027588	0.060124
23	5	825.169373	0.596008
23	6	905.747498	1.103168
23	7	783.715698	0.335098
23	8	737.469055	0.044020
23	11	981.794250	1.581807
23	12	971.095520	1.514469
23	13	846.469604	0.730072
23	14	825.566284	0.598506
23	15	850.596436	0.756046
23	16	821.186707	0.570941
23	17	754.409485	0.150644
