M1	M2	max_distance	max_distance_zscore
0	11	940.631958	1.322731
3	11	908.163757	1.118376
4	11	862.895020	0.833454
5	12	919.393738	1.189058
6	12	940.770325	1.323602
7	11	841.947632	0.701610
8	11	845.228271	0.722259
11	23	981.794250	1.581807
12	23	971.095520	1.514469
13	24	871.449280	0.887294
14	11	919.310181	1.188532
15	11	932.995605	1.274668
16	11	932.906982	1.274110
17	11	884.451477	0.969130
18	11	844.386780	0.716962
21	11	813.043152	0.519685
22	0	851.996216	0.764856
23	11	981.794250	1.581807
24	12	957.424255	1.428422
25	12	940.013184	1.318837
26	11	909.955994	1.129656
27	12	834.756714	0.656351
28	11	963.865234	1.468962
29	11	898.562561	1.057946
