M1	M2	min_distance	min_distance_zscore
0	28	110.912239	-3.899539
3	28	461.521271	-1.692800
4	21	520.640442	-1.320703
5	6	306.974487	-2.665520
6	5	306.974487	-2.665520
7	6	503.180847	-1.430593
8	27	233.986389	-3.124908
11	12	77.697861	-4.108591
12	11	77.697861	-4.108591
13	12	92.798416	-4.013547
14	13	251.861877	-3.012399
15	14	299.367279	-2.713400
16	17	327.055969	-2.539126
17	18	290.478699	-2.769345
18	29	178.820831	-3.472121
21	22	400.480713	-2.076990
22	21	400.480713	-2.076990
23	22	406.143738	-2.041347
24	25	457.436646	-1.718508
25	26	256.264465	-2.984689
26	25	256.264465	-2.984689
27	8	233.986389	-3.124908
28	0	110.912239	-3.899539
29	18	178.820831	-3.472121
