M1	M2	distance	distance_zscore
23	7	783.715698	0.448305
32	7	824.366638	0.835727
32	23	895.800781	1.516527
38	7	731.809753	-0.046382
38	23	815.836487	0.754431
38	32	850.732727	1.087008
39	7	728.266052	-0.080156
39	23	819.214722	0.786627
39	32	828.735718	0.877366
39	38	774.858582	0.363893
42	7	749.562988	0.122814
42	23	568.363953	-1.604096
42	32	877.528137	1.342380
42	38	738.109009	0.013652
42	39	744.067688	0.070441
46	7	560.900146	-1.675229
46	23	645.606018	-0.867943
46	32	779.328125	0.406489
46	38	583.796082	-1.457020
46	39	606.739319	-1.238361
46	42	562.867065	-1.656484
