M1	M2	distance	distance_zscore
5	2	1176.697876	0.598430
8	2	1133.559937	0.216964
8	5	1155.464600	0.410666
9	2	1267.380981	1.400335
9	5	1227.719727	1.049613
9	8	896.750549	-1.877127
13	2	1147.534302	0.340538
13	5	1177.951294	0.609514
13	8	1046.862183	-0.549699
13	9	1254.561768	1.286976
14	2	1136.271606	0.240943
14	5	1180.845825	0.635110
14	8	1112.036255	0.026631
14	9	1217.614868	0.960256
14	13	763.519836	-3.055278
15	2	1103.588013	-0.048076
15	5	1205.530518	0.853395
15	8	997.902161	-0.982649
15	9	1037.404541	-0.633332
15	13	1070.628662	-0.339533
15	14	967.802551	-1.248818
21	2	1119.107422	0.089161
21	5	1175.735352	0.589918
21	8	1028.079834	-0.715790
21	9	1264.557007	1.375363
21	13	1081.053223	-0.247350
21	14	1134.699585	0.227042
21	15	1064.513550	-0.393609
26	2	853.178467	-2.262432
26	5	1141.927002	0.290953
26	8	1059.871460	-0.434659
26	9	1223.271362	1.010276
26	13	1071.309448	-0.333513
26	14	1127.389893	0.162403
26	15	1090.026733	-0.167997
26	21	995.064880	-1.007739
27	2	1136.602905	0.243873
27	5	1155.524902	0.411199
27	8	1127.574951	0.164039
27	9	1223.461304	1.011956
27	13	1129.858887	0.184236
27	14	1151.272217	0.373593
27	15	1154.857666	0.405298
27	21	1157.634888	0.429857
27	26	1102.457397	-0.058074
28	2	1222.053467	0.999507
28	5	1235.831665	1.121346
28	8	1091.928467	-0.151181
28	9	888.391602	-1.951044
28	13	1189.427490	0.710997
28	14	1233.519653	1.100901
28	15	977.611816	-1.162076
28	21	1129.583984	0.181805
28	26	1189.427490	0.710997
28	27	1239.142944	1.150628
29	2	1134.948730	0.229245
29	5	1203.044067	0.831408
29	8	1188.039917	0.698727
29	9	1239.725586	1.155780
29	13	1228.658691	1.057916
29	14	1198.136841	0.788013
29	15	1206.033569	0.857844
29	21	1260.126099	1.336181
29	26	1183.886353	0.661997
29	27	1115.633789	0.058444
29	28	1173.202881	0.567524
31	2	1165.471313	0.499154
31	5	1140.309570	0.276651
31	8	1027.619751	-0.719859
31	9	1264.470947	1.374602
31	13	1083.434570	-0.226292
31	14	1153.256104	0.391136
31	15	1074.694946	-0.303575
31	21	908.172485	-1.776123
31	26	1062.120605	-0.414770
31	27	1015.902161	-0.823476
31	28	1111.928833	0.025681
31	29	1175.332031	0.586352
35	2	1055.512939	-0.473201
35	5	1123.318359	0.126398
35	8	851.536316	-2.276953
35	9	1237.718872	1.138035
35	13	970.854248	-1.221832
35	14	1065.423462	-0.385563
35	15	912.276672	-1.739830
35	21	776.071960	-2.944280
35	26	902.186890	-1.829053
35	27	1106.075684	-0.026078
35	28	1042.684326	-0.586643
35	29	1226.976807	1.043043
35	31	892.882568	-1.911331
