M1	M2	max_distance	max_distance_zscore
0	1	790.196472	0.341631
1	3	937.743164	1.377583
2	1	808.799133	0.472244
3	1	937.743164	1.377583
4	1	924.152222	1.282158
5	1	767.981995	0.185660
