profile	Shannon_Information	KL_divergence
7	1.326040	1.101900
23	1.332436	1.194531
32	1.759640	1.434720
38	1.471052	1.290630
39	1.451009	1.186113
40	1.592451	1.287683
42	1.203727	1.048576
45	0.903529	0.694492
