M1	M2	distance	distance_zscore
7	3	685.969849	-0.274239
23	3	776.383667	0.592892
23	7	783.715698	0.663212
32	3	812.859131	0.942718
32	7	824.366638	1.053083
32	23	895.800781	1.738186
38	3	711.617981	-0.028256
38	7	731.809753	0.165397
38	23	815.836487	0.971273
38	32	850.732727	1.305952
39	3	766.352905	0.496690
39	7	728.266052	0.131411
39	23	819.214722	1.003672
39	32	828.735718	1.094985
39	38	774.858582	0.578266
40	3	620.488770	-0.902249
40	7	671.761108	-0.410511
40	23	722.820496	0.079184
40	32	837.355408	1.177654
40	38	692.239807	-0.214106
40	39	648.663696	-0.632031
42	3	706.656982	-0.075835
42	7	749.562988	0.335663
42	23	568.363953	-1.402162
42	32	877.528137	1.562939
42	38	738.109009	0.225812
42	39	744.067688	0.282960
42	40	700.043091	-0.139267
44	3	502.256531	-2.036179
44	7	526.677246	-1.801967
44	23	626.425598	-0.845310
44	32	726.639526	0.115811
44	38	571.799683	-1.369211
44	39	634.087463	-0.771828
44	40	533.278381	-1.738657
44	42	518.965515	-1.875928
