11,84:7,9:0.42730
19:55,56,65,66:0.00000
80:33,40,41,42:0.00000
81:33,40,41,42:0.00000
64:48:-0.27530
33,40,41,42:82:0.00000
10:64:0.00000
78:82:0.22140
46:48:0.54180
10:11,84:0.54830
11,84:6,7,8:0.35600
19:6,7,8:0.00000
80:55,56,65,66:0.04540
81:11,84:-0.07320
7,9:14,15,20,24,25:0.00000
64:14,15,20,24,25:0.00000
78:7,9:0.00000
6,7,8:82:0.00000
46:82:0.15410
11,84:48:0.13670
19:46:0.00000
80:14,15,20,24,25:0.00000
81:10:0.00000
7,9:55,56,65,66:0.00000
80:64:0.47480
81:82:0.35030
19:64:0.00000
14,15,20,24,25:55,56,65,66:0.00000
78:33,40,41,42:0.00000
48:55,56,65,66:0.00000
10:7,9:0.59300
11,84:14,15,20,24,25:0.00000
19:14,15,20,24,25:0.68890
46:10:0.00000
80:48:0.00000
81:7,9:0.00000
64:6,7,8:0.00000
33,40,41,42:55,56,65,66:0.00000
10:78:0.00000
78:11,84:0.00000
6,7,8:33,40,41,42:0.00000
48:33,40,41,42:0.00000
46:33,40,41,42:0.00000
10:33,40,41,42:0.00000
11,84:55,56,65,66:0.00000
19:11,84:0.00000
46:78:0.00000
80:6,7,8:0.00000
81:6,7,8:0.00000
55,56,65,66:82:0.16690
64:7,9:0.00000
78:14,15,20,24,25:0.00000
6,7,8:55,56,65,66:0.00000
46:7,9:0.00000
11,84:33,40,41,42:0.16760
80:19:0.00000
19:33,40,41,42:0.00000
80:7,9:0.00000
81:78:-0.00080
7,9:82:0.00000
78:64:0.55850
64:82:0.27480
6,7,8:14,15,20,24,25:0.00000
80:78:0.36940
19:78:0.00000
81:19:0.24290
48:82:0.21760
10:82:0.00000
19:7,9:0.00000
80:10:0.00000
81:14,15,20,24,25:0.41880
64:11,84:-0.21070
33,40,41,42:14,15,20,24,25:0.00000
78:6,7,8:0.00000
6,7,8:48:0.00000
48:7,9:0.00000
46:11,84:0.06810
10:48:0.00000
11,84:82:-0.12810
19:82:0.15950
46:64:-0.24350
80:11,84:0.00000
81:48:0.22250
64:33,40,41,42:0.00000
78:55,56,65,66:0.43570
46:14,15,20,24,25:0.00000
10:6,7,8:0.44290
80:81:-0.03910
19:48:0.00000
80:82:0.15410
81:64:0.09130
64:55,56,65,66:0.40560
6,7,8:7,9:0.64650
46:55,56,65,66:0.00000
19:10:0.00000
81:46:0.20580
10:55,56,65,66:0.00000
80:46:0.00000
81:55,56,65,66:0.00000
14,15,20,24,25:82:0.29610
33,40,41,42:7,9:0.00000
78:48:0.00000
48:14,15,20,24,25:0.00000
46:6,7,8:0.00000
10:14,15,20,24,25:0.00000
