82
65,66
55,56
14,25
7,9
23,82
33,40,41,42
48
9
11,84
14,24,25
11
55
14,20,25
7,8
64
78
9,10
64,82
46
19
84
81
14
7
6,8
6
80,82
78,82
48,82
7,10
14,15,24,25
8
64,80
66
80
10
15
14,15,25
