M1	M2	distance	distance_zscore
5	2	1176.697876	0.655172
8	2	1133.559937	0.289404
8	5	1155.464600	0.475134
9	2	1267.380981	1.424077
9	5	1227.719727	1.087788
9	8	896.750549	-1.718510
13	2	1147.534302	0.407893
13	5	1177.951294	0.665799
13	8	1046.862183	-0.445709
13	9	1254.561768	1.315382
14	2	1136.271606	0.312396
14	5	1180.845825	0.690342
14	8	1112.036255	0.106904
14	9	1217.614868	1.002108
14	13	763.519836	-2.848177
15	2	1103.588013	0.035271
15	5	1205.530518	0.899645
15	8	997.902161	-0.860843
15	9	1037.404541	-0.525901
15	13	1070.628662	-0.244192
15	14	967.802551	-1.116058
21	2	1119.107422	0.166861
21	5	1175.735352	0.647011
21	8	1028.079834	-0.604965
21	9	1264.557007	1.400132
21	13	1081.053223	-0.155802
21	14	1134.699585	0.299067
21	15	1064.513550	-0.296043
24	2	1097.419800	-0.017029
24	5	1146.050537	0.395312
24	8	933.214844	-1.409328
24	9	1229.781006	1.105265
24	13	1046.113281	-0.452059
24	14	1073.620728	-0.218823
24	15	1009.101929	-0.765879
24	21	924.152222	-1.486171
26	2	853.178467	-2.087959
26	5	1141.927002	0.360348
26	8	1059.871460	-0.335403
26	9	1223.271362	1.050070
26	13	1071.309448	-0.238420
26	14	1127.389893	0.237088
26	15	1090.026733	-0.079716
26	21	995.064880	-0.884900
26	24	989.370483	-0.933183
27	2	1136.602905	0.315205
27	5	1155.524902	0.475645
27	8	1127.574951	0.238657
27	9	1223.461304	1.051680
27	13	1129.858887	0.258023
27	14	1151.272217	0.439587
27	15	1154.857666	0.469988
27	21	1157.634888	0.493536
27	24	1131.226562	0.269619
27	26	1102.457397	0.025684
28	2	1222.053467	1.039743
28	5	1235.831665	1.156569
28	8	1091.928467	-0.063591
28	9	888.391602	-1.789386
28	13	1189.427490	0.763107
28	14	1233.519653	1.136965
28	15	977.611816	-1.032885
28	21	1129.583984	0.255692
28	24	1124.685425	0.214157
28	26	1189.427490	0.763107
28	27	1239.142944	1.184645
29	2	1134.948730	0.301179
29	5	1203.044067	0.878562
29	8	1188.039917	0.751341
29	9	1239.725586	1.189586
29	13	1228.658691	1.095749
29	14	1198.136841	0.836953
29	15	1206.033569	0.903910
29	21	1260.126099	1.362562
29	24	1206.710327	0.909648
29	26	1183.886353	0.716123
29	27	1115.633789	0.137407
29	28	1173.202881	0.625538
31	2	1165.471313	0.559981
31	5	1140.309570	0.346634
31	8	1027.619751	-0.608866
31	9	1264.470947	1.399402
31	13	1083.434570	-0.135611
31	14	1153.256104	0.456408
31	15	1074.694946	-0.209714
31	21	908.172485	-1.621663
31	24	998.575989	-0.855129
31	26	1062.120605	-0.316332
31	27	1015.902161	-0.708220
31	28	1111.928833	0.105993
31	29	1175.332031	0.643591
34	2	1042.317505	-0.484244
34	5	1119.052246	0.166393
34	8	845.866089	-2.149961
34	9	1243.771118	1.223888
34	13	969.081970	-1.105210
34	14	1061.634766	-0.320452
34	15	902.867920	-1.666641
34	21	786.174744	-2.656086
34	24	710.242798	-3.299915
34	26	882.331970	-1.840766
34	27	1086.802856	-0.107051
34	28	1022.755066	-0.650114
34	29	1210.368164	0.940663
34	31	888.944824	-1.784695
