p0	p1	46_78_81_82	55_59_64_65_66_78_82	0.93148947216
p0	p2	46_78_81_82	14_20_24_81	0.922286487153
p0	p3	46_78_81_82	55_59_63_65_78_82	0.922979353851
p0	p4	46_78_81_82	46_48_64_81_84	0.942141253304
p0	p5	46_78_81_82	6_8_9_84	1.15625491695
p0	p6	46_78_81_82	55_59_65_66_78_82	0.923371579845
p0	p7	46_78_81_82	14_15_19_20_23_25_81_82	0.930575856653
p0	p8	46_78_81_82	6_7_9_10	1.32987156
p0	p9	46_78_81_82	6_9_11_84	1.15722559701
p0	p10	46_78_81_82	14_15_19_20_23_25_81	0.928226569151
p0	p11	46_78_81_82	55_63_64_65_66_78	0.929640577729
p0	p12	46_78_81_82	55_64_78_80	0.937458993379
p0	p13	46_78_81_82	78_80_82	0.930629856578
p0	p14	46_78_81_82	6_7_8_9_11_84	1.17814490199
p0	p15	46_78_81_82	46_48_81_82_84	0.935326383537
p0	p16	46_78_81_82	64_78_80	0.940855116439
p0	p17	46_78_81_82	55_64_78_80_82	0.93676026515
p0	p18	46_78_81_82	6_8_9_11_84	1.16841053056
p0	p19	46_78_81_82	9_10_11_84	1.15651236752
p0	p20	46_78_81_82	6_7_8_9_10	1.32817982215
p0	p21	46_78_81_82	14_15_20_24_81_82	0.928951656714
p0	p22	46_78_81_82	64_78_82	0.934443303373
p0	p23	46_78_81_82	33_36_38_40_41_42_84	1.12549338989
p0	p24	46_78_81_82	36_37_40_41_42_84	1.11959625314
p0	p25	46_78_81_82	6_9_10	1.33281577896
p0	p26	46_78_81_82	14_20_23_24_25_81_82	0.929240844196
p0	p27	46_78_81_82	14_15_20_24_25_81_82	0.929868954957
p0	p28	46_78_81_82	14_15_19_20_23_24_81	0.927249217549
p0	p29	46_78_81_82	46_82_84	0.947034461351
p0	p30	46_78_81_82	19_20_23_24_81	0.92234362777
p0	p31	46_78_81_82	33_36_37_40_41_42_84	1.12204362574
p0	p32	46_78_81_82	6_8_9_10_84	1.16759119369
p0	p33	46_78_81_82	36_37_38_40_41_42_84	1.12204362574
p0	p34	46_78_81_82	7_8_9_11_84	1.16763519507
p0	p35	46_78_81_82	46_48_64_82_84	0.948209499073
