profile	Shannon_Information	KL_divergence
5	2.483749	2.216925
8	1.554578	1.284964
9	2.736673	2.593478
15	1.682604	1.446171
27	2.851173	2.540217
28	2.224669	2.057671
29	2.868878	2.588862
36	2.056246	1.833105
38	1.265831	0.991164
39	2.021605	1.711382
