10:6,7,8,9:0.50660
46:33,40,41,42:0.00000
80:82:0.15410
80:55,56,65,66:0.04540
78:55,56,65,66:0.43570
6,7,8,9:82:0.00000
78:64:0.55850
64:82:0.27480
48:33,40,41,42:0.00000
14,15,19,20,24,25:55,56,65,66:0.00000
80:48:0.00000
11,84:14,15,19,20,24,25:0.00000
81:64:0.09130
78:33,40,41,42:0.00000
81:46:0.20580
48:55,56,65,66:0.00000
64:48:-0.27530
10:14,15,19,20,24,25:0.00000
33,40,41,42:82:0.00000
46:64:-0.24350
78:82:0.22140
80:78:0.36940
81:48:0.22250
64:55,56,65,66:0.40560
46:6,7,8,9:0.00000
10:11,84:0.54830
80:64:0.47480
80:11,84:0.00000
11,84:6,7,8,9:0.40460
81:55,56,65,66:0.00000
48:82:0.21760
46:55,56,65,66:0.00000
64:11,84:-0.21070
33,40,41,42:55,56,65,66:0.00000
81:14,15,19,20,24,25:0.38950
46:78:0.00000
78:10:0.00000
11,84:33,40,41,42:0.16760
6,7,8,9:14,15,19,20,24,25:0.00000
46:11,84:0.06810
81:33,40,41,42:0.00000
64:14,15,19,20,24,25:0.00000
10:55,56,65,66:0.00000
80:10:0.00000
78:6,7,8,9:0.00000
80:81:-0.03910
11,84:82:-0.12810
81:82:0.35030
10:48:0.00000
64:10:0.00000
46:82:0.15410
33,40,41,42:14,15,19,20,24,25:0.00000
55,56,65,66:82:0.16690
78:11,84:0.00000
81:78:-0.00080
11,84:48:0.13670
48:6,7,8,9:0.00000
81:10:0.00000
64:6,7,8,9:0.00000
80:14,15,19,20,24,25:0.00000
10:82:0.00000
46:48:0.54180
78:14,15,19,20,24,25:0.00000
11,84:55,56,65,66:0.00000
6,7,8,9:55,56,65,66:0.00000
81:6,7,8,9:0.00000
10:33,40,41,42:0.00000
14,15,19,20,24,25:82:0.27330
80:33,40,41,42:0.00000
80:6,7,8,9:0.00000
33,40,41,42:6,7,8,9:0.00000
46:10:0.00000
78:48:0.00000
46:14,15,19,20,24,25:0.00000
48:14,15,19,20,24,25:0.00000
80:46:0.00000
81:11,84:-0.07320
64:33,40,41,42:0.00000
