M1	M2	max_distance	max_distance_zscore
3	32	812.859131	0.755268
4	32	770.797607	0.452727
5	26	839.503723	0.946917
6	23	905.747498	1.423395
7	32	824.366638	0.838039
8	26	818.090210	0.792894
14	32	857.375916	1.075468
15	32	861.851013	1.107656
16	32	898.465942	1.371020
17	32	856.461975	1.068894
21	32	795.832214	0.632796
22	32	860.618652	1.098792
23	6	905.747498	1.423395
24	6	904.536316	1.414683
25	32	895.906921	1.352614
26	32	900.213379	1.383589
27	26	829.744629	0.876722
31	32	870.058594	1.166692
32	24	901.724609	1.394459
33	32	821.526611	0.817611
