M1	M2	max_distance	max_distance_zscore
3	32	812.859131	0.749020
4	32	770.797607	0.453162
5	26	839.503723	0.936437
6	23	905.747498	1.402392
7	32	824.366638	0.829964
8	26	818.090210	0.785815
14	32	857.375916	1.062149
15	32	861.851013	1.093627
16	32	898.465942	1.351174
17	32	856.461975	1.055720
18	32	821.530823	0.810017
21	32	795.832214	0.629254
22	32	860.618652	1.084958
23	6	905.747498	1.402392
24	6	904.536316	1.393873
25	32	895.906921	1.333174
26	32	900.213379	1.363465
27	26	829.744629	0.867792
29	16	845.363892	0.977657
31	32	870.058594	1.151358
32	24	901.724609	1.374095
