M1	M2	min_distance	min_distance_zscore
3	4	544.262634	-1.140273
4	21	520.640442	-1.306430
5	6	306.974487	-2.809345
6	5	306.974487	-2.809345
7	6	503.180847	-1.429240
8	27	233.986389	-3.322739
14	31	250.419769	-3.207148
15	14	299.367279	-2.862854
16	17	327.055969	-2.668093
17	18	290.478699	-2.925375
18	29	178.820831	-3.710771
21	22	400.480713	-2.151627
22	21	400.480713	-2.151627
23	22	406.143738	-2.111794
24	25	457.436646	-1.751002
25	26	256.264465	-3.166036
26	25	256.264465	-3.166036
27	8	233.986389	-3.322739
29	18	178.820831	-3.710771
31	14	250.419769	-3.207148
32	8	762.833984	0.397146
