M1	M2	min_distance	min_distance_zscore
5	44	1132.436279	-0.521632
27	44	1107.880249	-0.985016
29	27	1115.633789	-0.838703
40	44	1053.443237	-2.012266
44	40	1053.443237	-2.012266
