M1	M2	distance	distance_zscore
8	5	1155.464600	0.349615
9	5	1227.719727	1.021930
9	8	896.750549	-2.057652
15	5	1205.530518	0.815465
15	8	997.902161	-1.116463
15	9	1037.404541	-0.748903
27	5	1155.524902	0.350176
27	8	1127.574951	0.090109
27	9	1223.461304	0.982307
27	15	1154.857666	0.343968
28	5	1235.831665	1.097410
28	8	1091.928467	-0.241572
28	9	888.391602	-2.135430
28	15	977.611816	-1.305259
28	27	1239.142944	1.128220
29	5	1203.044067	0.792330
29	8	1188.039917	0.652720
29	9	1239.725586	1.133642
29	15	1206.033569	0.820146
29	27	1115.633789	-0.021000
29	28	1173.202881	0.514665
36	5	1162.560303	0.415639
36	8	1040.609619	-0.719081
36	9	1254.383545	1.270030
36	15	1066.441162	-0.478725
36	27	1136.282349	0.171129
36	28	1166.150879	0.449048
36	29	1233.677734	1.077368
38	5	1150.025391	0.299005
38	8	897.495483	-2.050721
38	9	1268.616455	1.402464
38	15	961.723450	-1.453096
38	27	1087.184570	-0.285713
38	28	1053.077759	-0.603068
38	29	1210.600464	0.862640
38	36	964.840698	-1.424091
39	5	1153.386597	0.330280
39	8	1021.162537	-0.900031
39	9	1256.447754	1.289237
39	15	1038.767090	-0.736225
39	27	1123.727905	0.054313
39	28	1162.881958	0.418632
39	29	1203.820435	0.799554
39	36	1045.612549	-0.672530
39	38	904.827148	-1.982502
