M1	M2	max_distance	max_distance_zscore
5	28	1235.831665	1.097410
8	29	1188.039917	0.652720
9	38	1268.616455	1.402464
15	29	1206.033569	0.820146
27	28	1239.142944	1.128220
28	27	1239.142944	1.128220
29	9	1239.725586	1.133642
36	9	1254.383545	1.270030
38	9	1268.616455	1.402464
39	9	1256.447754	1.289237
