M1	M2	min_distance	min_distance_zscore
5	38	1150.025391	0.299005
8	9	896.750549	-2.057652
9	28	888.391602	-2.135430
15	38	961.723450	-1.453096
27	38	1087.184570	-0.285713
28	9	888.391602	-2.135430
29	27	1115.633789	-0.021000
36	38	964.840698	-1.424091
38	8	897.495483	-2.050721
39	38	904.827148	-1.982502
