M1	M2	distance	distance_zscore
4	3	544.262634	-1.529702
7	3	685.969849	-0.151999
7	4	674.692017	-0.261644
23	3	776.383667	0.727020
23	4	740.027588	0.373560
23	7	783.715698	0.798303
32	3	812.859131	1.081641
32	4	770.797607	0.672711
32	7	824.366638	1.193519
32	23	895.800781	1.888015
38	3	711.617981	0.097356
38	4	690.909729	-0.103973
38	7	731.809753	0.293665
38	23	815.836487	1.110587
38	32	850.732727	1.449855
39	3	766.352905	0.629499
39	4	626.080078	-0.734258
39	7	728.266052	0.259212
39	23	819.214722	1.143431
39	32	828.735718	1.235996
39	38	774.858582	0.712193
40	3	620.488770	-0.788618
40	4	617.702209	-0.815709
40	7	671.761108	-0.290139
40	23	722.820496	0.206269
40	32	837.355408	1.319798
40	38	692.239807	-0.091042
40	39	648.663696	-0.514696
42	3	706.656982	0.049125
42	4	666.467590	-0.341604
42	7	749.562988	0.466265
42	23	568.363953	-1.295385
42	32	877.528137	1.710365
42	38	738.109009	0.354907
42	39	744.067688	0.412838
42	40	700.043091	-0.015177
43	3	554.004761	-1.434987
43	4	483.504852	-2.120400
43	7	512.435120	-1.839135
43	23	609.924866	-0.891322
43	32	722.900085	0.207043
43	38	574.468140	-1.236039
43	39	638.207703	-0.616351
43	40	527.723755	-1.690496
43	42	533.896423	-1.630484
