M1	M2	distance	distance_zscore
27	5	1155.524902	0.225468
29	5	1203.044067	0.733498
29	27	1115.633789	-0.201011
36	5	1162.560303	0.300683
36	27	1136.282349	0.019744
36	29	1233.677734	1.061004
39	5	1153.386597	0.202607
39	27	1123.727905	-0.114476
39	29	1203.820435	0.741798
39	36	1045.612549	-0.949612
40	5	1204.746094	0.751694
40	27	1217.355469	0.886502
40	29	1204.465210	0.748691
40	36	1191.763794	0.612900
40	39	1179.844482	0.485470
42	5	1171.867676	0.400189
42	27	1134.878052	0.004731
42	29	1196.667358	0.665324
42	36	916.632446	-2.328546
42	39	916.723694	-2.327571
42	40	954.931641	-1.919087
