9:14:0.00000
46:14,24,25:0.00000
81:7,9:0.00000
6:81:0.00000
7:9:0.51130
6,8:48:0.00000
11,84:33,40,41,42:0.16760
14,24,25:82:0.32460
11:9:0.70640
66:64:0.34540
64:65,66:0.40740
80:78:0.36940
78:7,9:0.00000
10:14,20,25:0.00000
14:55,56:0.00000
15:65,66:0.00000
14,15,25:11:0.00000
46:82:0.15410
81:7,8:0.00000
19:7,8:0.00000
7:64:0.00000
84:11:0.63430
8:81:0.00000
6,8:78:0.00000
6:14,20,25:0.00000
8:14,24,25:0.00000
66:6,8:0.00000
64:11,84:-0.21070
14,20,25:11,84:0.00000
80:46:0.00000
78:7,8:0.00000
10:8:0.40400
15:48:0.00000
14,15,25:65,66:0.00000
33,40,41,42:65,66:0.00000
46:9:0.00000
81:84:-0.14650
19:48:0.00000
84:33,40,41,42:0.33510
6,8:11,84:0.38190
6:9:0.60360
8:48:0.00000
11:14,24,25:0.00000
55:7,9:0.00000
14,20,25:9:0.00000
78:11:0.00000
7,8:48:0.00000
66:55,56:0.68000
65,66:82:0.14850
80:14:0.00000
14,15,25:66:0.00000
48:65,66:0.00000
9:7,9:0.75570
6,8:19:0.00000
81:65,66:0.00000
11,84:82:-0.12810
10:80:0.00000
66:14,24,25:0.00000
15:7:0.00000
80:7,9:0.00000
14,15,25:8:0.00000
10:14:0.00000
15:11:0.00000
14,15,25:7,8:0.00000
46:55:0.00000
81:48:0.22250
19:11:0.00000
6:19:0.00000
7:65,66:0.00000
84:19:0.00000
8:7:0.61810
6,8:7,9:0.59190
11,84:9:0.55040
6:55:0.00000
14,24,25:48:0.00000
11:33,40,41,42:0.00000
55:11,84:0.00000
66:46:0.00000
64:9:0.00000
80:7,8:0.00000
78:48:0.00000
10:11:0.69760
15:14:0.92860
14,15,25:7,9:0.00000
46:55,56:0.00000
81:78:-0.00080
19:14:0.71220
7:11,84:0.30410
84:11,84:0.81720
6,8:7,8:0.72190
6:55,56:0.00000
8:55:0.00000
55:65,66:0.74410
66:8:0.00000
14,20,25:11:0.00000
80:6:0.00000
7,8:55:0.00000
10:6,8:0.42020
15:66:0.00000
14,15,25:14:0.97620
19:7,9:0.00000
