19:19:0.032967032967033
19:63:0.000000000000000
19:64:0.000000000000000
19:65:0.000000000000000
19:66:0.000000000000000
19:82:0.021978021978022
19:80:0.000000000000000
19:81:0.021978021978022
19:84:0.000000000000000
19:24:0.021978021978022
19:25:0.021978021978022
19:20:0.021978021978022
19:48:0.000000000000000
19:23:0.010989010989011
19:46:0.000000000000000
19:42:0.000000000000000
19:40:0.000000000000000
19:41:0.000000000000000
19:7:0.000000000000000
19:6:0.000000000000000
19:9:0.000000000000000
19:8:0.000000000000000
19:15:0.021978021978022
19:78:0.000000000000000
19:11:0.000000000000000
19:10:0.000000000000000
19:38:0.000000000000000
19:59:0.000000000000000
19:14:0.021978021978022
19:55:0.000000000000000
19:56:0.000000000000000
19:37:0.000000000000000
19:36:0.000000000000000
19:33:0.000000000000000
63:19:0.000000000000000
63:63:0.032967032967033
63:64:0.032967032967033
63:65:0.032967032967033
63:66:0.032967032967033
63:82:0.021978021978022
63:80:0.000000000000000
63:81:0.000000000000000
63:84:0.000000000000000
63:24:0.000000000000000
63:25:0.000000000000000
63:20:0.000000000000000
63:48:0.000000000000000
63:23:0.000000000000000
63:46:0.000000000000000
63:42:0.000000000000000
63:40:0.000000000000000
63:41:0.000000000000000
63:7:0.000000000000000
63:6:0.000000000000000
63:9:0.000000000000000
63:8:0.000000000000000
63:15:0.000000000000000
63:78:0.032967032967033
63:11:0.000000000000000
63:10:0.000000000000000
63:38:0.000000000000000
63:59:0.032967032967033
63:14:0.000000000000000
63:55:0.032967032967033
63:56:0.010989010989011
63:37:0.000000000000000
63:36:0.000000000000000
63:33:0.000000000000000
64:19:0.000000000000000
64:63:0.032967032967033
64:64:0.230769230769231
64:65:0.043956043956044
64:66:0.032967032967033
64:82:0.142857142857143
64:80:0.098901098901099
64:81:0.076923076923077
64:84:0.010989010989011
64:24:0.000000000000000
64:25:0.000000000000000
64:20:0.000000000000000
64:48:0.010989010989011
64:23:0.000000000000000
64:46:0.010989010989011
64:42:0.000000000000000
64:40:0.000000000000000
64:41:0.000000000000000
64:7:0.000000000000000
64:6:0.000000000000000
64:9:0.000000000000000
64:8:0.000000000000000
64:15:0.000000000000000
64:78:0.142857142857143
64:11:0.000000000000000
64:10:0.000000000000000
64:38:0.000000000000000
64:59:0.043956043956044
64:14:0.000000000000000
64:55:0.065934065934066
64:56:0.010989010989011
64:37:0.000000000000000
64:36:0.000000000000000
64:33:0.000000000000000
65:19:0.000000000000000
65:63:0.032967032967033
65:64:0.043956043956044
65:65:0.043956043956044
65:66:0.032967032967033
