19:0.032967032967033
63:0.032967032967033
64:0.230769230769231
65:0.043956043956044
66:0.043956043956044
82:0.362637362637363
80:0.142857142857143
81:0.263736263736264
84:0.318681318681319
24:0.043956043956044
25:0.043956043956044
20:0.054945054945055
48:0.164835164835165
23:0.021978021978022
46:0.142857142857143
42:0.032967032967033
40:0.032967032967033
41:0.032967032967033
7:0.153846153846154
6:0.175824175824176
9:0.164835164835165
8:0.153846153846154
15:0.054945054945055
78:0.208791208791209
11:0.164835164835165
10:0.142857142857143
38:0.032967032967033
59:0.043956043956044
14:0.043956043956044
55:0.076923076923077
56:0.010989010989011
37:0.010989010989011
36:0.021978021978022
33:0.032967032967033
