9:14,15,20,24,25:0.00000
81:7,8:0.00000
64:65,66:0.40740
6:6,8:0.81740
15:84:0.00000
84:48:0.27350
84:11:0.63430
46:7,9:0.00000
78:7,9:0.00000
6,8:7,9:0.59190
7:7,9:0.75570
10:64:0.00000
19:65,66:0.00000
8:6,8:0.81740
15:11:0.00000
6:9:0.60360
10:65,66:0.00000
81:78:-0.00080
15:48:0.00000
11,84:33,40,41,42:0.16760
66:9:0.00000
7,9:82:0.00000
55:11,84:0.00000
11:82:0.00000
7,8:33,40,41,42:0.00000
55:9:0.00000
15:7:0.00000
9:48:0.00000
81:9:0.00000
64:48:-0.27530
6,8:46:0.00000
81:55,56:0.00000
19:7,8:0.00000
46:65,66:0.00000
78:9:0.00000
6:11:0.53050
6,8:14,15,20,24,25:0.00000
7:11:0.43260
10:19:0.00000
19:7,9:0.00000
15:64:0.00000
6:7,9:0.61920
80:7:0.00000
8:14,15,20,24,25:0.00000
14,15,20,24,25:55,56:0.00000
11,84:55,56:0.00000
66:55:0.66740
11:14,15,20,24,25:0.00000
48:82:0.21760
7,8:82:0.00000
9:33,40,41,42:0.00000
64:7,8:0.00000
6,8:78:0.00000
84:33,40,41,42:0.33510
19:46:0.00000
46:55,56:0.00000
78:55:0.51940
6:46:0.00000
7:55:0.00000
10:55:0.00000
66:6,8:0.00000
15:19:0.65380
10:6,8:0.42020
6:81:0.00000
8:64:0.00000
80:81:-0.03910
14,15,20,24,25:65,66:0.00000
10:81:0.00000
80:48:0.00000
66:11:0.00000
6,8:84:0.24290
15:6,8:0.00000
84:78:0.00000
46:11,84:0.06810
78:82:0.22140
64:11,84:-0.21070
6,8:11,84:0.38190
7:82:0.00000
81:11,84:-0.07320
19:78:0.00000
6:14,15,20,24,25:0.00000
7:19:0.00000
10:33,40,41,42:0.00000
66:8:0.00000
8:48:0.00000
15:55,56:0.00000
55,56:65,66:0.71840
10:66:0.00000
66:14,15,20,24,25:0.00000
8:11:0.51130
11:7,9:0.56950
80:8:0.00000
66:64:0.34540
33,40,41,42:65,66:0.00000
55:14,15,20,24,25:0.00000
80:14,15,20,24,25:0.00000
9:55,56:0.00000
10:11:0.69760
64:55,56:0.40380
7,8:55:0.00000
81:48:0.22250
84:55:0.00000
46:33,40,41,42:0.00000
78:14,15,20,24,25:0.00000
6,8:9:0.55740
7:33,40,41,42:0.00000
84:7,9:0.28500
19:82:0.15950
8:84:0.24020
15:11,84:0.00000
6:82:0.00000
7:84:0.17560
10:82:0.00000
66:15:0.00000
8:9:0.51130
15:33,40,41,42:0.00000
11,84:48:0.13670
66:48:0.00000
8:55:0.00000
7,9:65,66:0.00000
55:11:0.00000
11:9:0.70640
48:7,9:0.00000
33,40,41,42:7,9:0.00000
6,8:81:0.00000
7,8:7,9:0.66020
55:7,9:0.00000
9:65,66:0.00000
64:9:0.00000
7,8:11:0.47200
81:65,66:0.00000
19:55:0.00000
46:48:0.54180
78:48:0.00000
6:55:0.00000
6,8:55,56:0.00000
7:48:0.00000
10:46:0.00000
19:9:0.00000
15:7,8:0.00000
6:33,40,41,42:0.00000
65,66:82:0.14850
10:14,15,20,24,25:0.00000
8:82:0.00000
11,84:14,15,20,24,25:0.00000
66:33,40,41,42:0.00000
10:7,9:0.59300
11:55,56:0.00000
80:15:0.00000
48:65,66:0.00000
7,8:14,15,20,24,25:0.00000
9:7,9:0.75570
46:64:-0.24350
64:7,9:0.00000
6,8:64:0.00000
81:64:0.09130
19:11:0.00000
46:14,15,20,24,25:0.00000
78:11:0.00000
6:19:0.00000
6,8:65,66:0.00000
7:7,8:0.80900
84:14,15,20,24,25:0.00000
66:7:0.00000
80:55,56:0.09080
15:46:0.00000
8:78:0.00000
14,15,20,24,25:82:0.29610
11:11,84:0.81720
11,84:82:-0.12810
66:11,84:0.00000
10:84:0.39900
48:55,56:0.00000
84:46:0.13620
46:11:0.00000
10:8:0.40400
64:11:0.00000
6,8:7,8:0.72190
7:65,66:0.00000
81:19:0.24290
19:64:0.00000
8:6:0.63480
78:64:0.55850
6:64:0.00000
80:7,8:0.00000
7:64:0.00000
15:6:0.00000
66:81:0.00000
15:65,66:0.00000
80:82:0.15410
66:55,56:0.68000
8:46:0.00000
10:11,84:0.54830
80:19:0.00000
