M1	M2	distance	distance_zscore
3	0	805.585327	0.558409
4	0	769.167969	0.318713
4	3	544.262634	-1.161594
5	0	827.834106	0.704849
5	3	769.933716	0.323753
5	4	637.734009	-0.546373
6	0	852.825562	0.869340
6	3	807.083374	0.568269
6	4	748.185547	0.180609
6	5	306.974487	-2.723404
7	0	817.368591	0.635966
7	3	685.969849	-0.228889
7	4	674.692017	-0.303119
7	5	737.001709	0.106998
7	6	503.180847	-1.431991
8	0	753.898560	0.218211
8	3	601.829834	-0.782692
8	4	607.171265	-0.747535
8	5	742.698303	0.144492
8	6	492.939484	-1.499398
8	7	519.460693	-1.324838
13	0	862.580566	0.933547
13	3	741.339478	0.135549
13	4	733.880371	0.086453
13	5	781.352600	0.398912
13	6	813.102539	0.607887
13	7	779.260559	0.385142
13	8	710.360168	-0.068354
14	0	849.723816	0.848925
14	3	716.769104	-0.026171
14	4	692.538208	-0.185657
14	5	784.310669	0.418381
14	6	820.914124	0.659302
14	7	726.594604	0.038499
14	8	680.209167	-0.266806
14	13	251.861877	-3.086150
15	0	854.259766	0.878780
15	3	754.944031	0.225093
15	4	733.206055	0.082015
15	5	807.250854	0.569372
15	6	842.737061	0.802939
15	7	786.562073	0.433200
15	8	716.923767	-0.025153
15	13	321.135498	-2.630197
15	14	299.367279	-2.773474
16	0	893.059021	1.134153
16	3	754.033813	0.219102
16	4	748.512207	0.182759
16	5	836.522949	0.762038
16	6	868.737915	0.974074
16	7	783.499146	0.413040
16	8	751.641174	0.203354
16	13	818.656738	0.644444
16	14	791.354370	0.464742
16	15	826.133606	0.693656
17	0	850.554993	0.854396
17	3	645.403992	-0.495890
17	4	650.528015	-0.462164
17	5	678.666321	-0.276961
17	6	818.060120	0.640517
17	7	691.398682	-0.193157
17	8	650.952271	-0.459372
17	13	746.802490	0.171506
17	14	712.400085	-0.054928
17	15	755.408142	0.228147
17	16	327.055969	-2.591229
18	0	813.131714	0.608079
18	3	601.687683	-0.783627
18	4	598.009644	-0.807836
18	5	642.585999	-0.514438
18	6	800.252808	0.523311
18	7	665.262512	-0.365183
18	8	594.616333	-0.830170
18	13	702.721619	-0.118631
18	14	669.645325	-0.336336
18	15	714.804810	-0.039100
18	16	406.980225	-2.065175
18	17	290.478699	-2.831978
21	0	784.888794	0.422186
21	3	568.117004	-1.004587
21	4	520.640442	-1.317073
21	5	666.757080	-0.355346
21	6	761.247498	0.266582
21	7	573.374817	-0.969980
21	8	468.956024	-1.657255
21	13	657.524475	-0.416114
21	14	619.340759	-0.667436
21	15	665.880188	-0.361118
21	16	685.765747	-0.230233
21	17	558.847778	-1.065596
21	18	497.690765	-1.468126
22	0	851.996216	0.863882
22	3	629.423828	-0.601070
22	4	580.046326	-0.926069
22	5	733.308594	0.082690
22	6	828.556091	0.709601
22	7	664.557373	-0.369824
22	8	583.163818	-0.905550
22	13	731.950562	0.073752
22	14	697.255737	-0.154607
22	15	739.232849	0.121683
22	16	770.181396	0.325384
22	17	666.540466	-0.356772
22	18	618.974670	-0.669846
22	21	400.480713	-2.107954
23	0	891.002930	1.120620
23	3	776.383667	0.366206
23	4	740.027588	0.126914
23	5	825.169373	0.687310
23	6	905.747498	1.217668
23	7	783.715698	0.414465
23	8	737.469055	0.110074
23	13	846.469604	0.827506
23	14	825.566284	0.689922
23	15	850.596436	0.854668
23	16	821.186707	0.661096
23	17	754.409485	0.221574
23	18	700.932068	-0.130409
23	21	614.615112	-0.698540
23	22	406.143738	-2.070680
24	0	898.143921	1.167622
24	3	785.035156	0.423150
24	4	722.141724	0.009191
24	5	833.358032	0.741207
24	6	904.536316	1.209696
24	7	782.426270	0.405978
24	8	751.538208	0.202676
24	13	871.449280	0.991920
24	14	814.756165	0.618771
24	15	858.011597	0.903474
24	16	850.007080	0.850789
24	17	753.529297	0.215781
24	18	732.575195	0.077863
24	21	640.357361	-0.529107
24	22	573.726868	-0.967663
24	23	471.420502	-1.641034
25	0	888.614868	1.104903
25	3	744.441040	0.155963
25	4	691.461182	-0.192746
25	5	818.391174	0.642696
25	6	858.730530	0.908206
25	7	796.674561	0.499759
25	8	714.656738	-0.040075
25	13	796.090393	0.495914
25	14	785.263794	0.424655
25	15	825.251587	0.687851
25	16	815.807007	0.625687
25	17	769.585999	0.321465
25	18	726.777100	0.039700
25	21	571.114990	-0.984854
25	22	642.266663	-0.516540
25	23	584.970764	-0.893657
25	24	457.436646	-1.733075
26	0	894.264282	1.142086
26	3	760.762756	0.263391
26	4	742.603027	0.143865
26	5	839.503723	0.781657
26	6	869.580444	0.979620
26	7	811.117249	0.594820
26	8	818.090210	0.640715
26	13	785.641174	0.427139
26	14	774.104553	0.351206
26	15	806.528564	0.564618
26	16	795.413574	0.491460
26	17	805.952637	0.560827
26	18	768.952393	0.317294
26	21	722.192627	0.009526
26	22	785.928162	0.429027
26	23	886.426453	1.090498
26	24	532.085632	-1.241742
26	25	256.264465	-3.057173
27	0	755.236206	0.227016
27	3	618.001221	-0.676253
27	4	609.693176	-0.730936
27	5	765.959656	0.297597
27	6	732.082397	0.074619
27	7	561.229675	-1.049918
27	8	233.986389	-3.203805
27	13	706.545654	-0.093461
27	14	676.477112	-0.291370
27	15	719.031250	-0.011282
27	16	755.320068	0.227568
27	17	672.486023	-0.317639
27	18	593.029846	-0.840612
27	21	521.509094	-1.311356
27	22	623.818970	-0.637961
27	23	738.463440	0.116619
27	24	745.951233	0.165903
27	25	725.063477	0.028421
27	26	829.744629	0.717424
28	0	110.912239	-4.013868
28	3	461.521271	-1.706190
28	4	794.119324	0.482941
28	5	831.169800	0.726804
28	6	884.868347	1.080243
28	7	765.763367	0.296305
28	8	715.307129	-0.035794
28	13	803.998962	0.547968
28	14	793.791565	0.480784
28	15	830.655762	0.723421
28	16	799.770325	0.520135
