M1	M2	max_distance	max_distance_zscore
0	30	937.074951	1.423862
3	30	856.199524	0.891548
4	30	820.316956	0.655372
5	30	920.848572	1.317062
6	30	939.853516	1.442151
7	30	839.904724	0.784297
8	30	823.936707	0.679196
13	24	871.449280	0.991920
14	0	849.723816	0.848925
15	30	914.209595	1.273365
16	30	915.953491	1.284843
17	0	850.554993	0.854396
18	0	813.131714	0.608079
21	30	801.613770	0.532269
22	0	851.996216	0.863882
23	30	970.131470	1.641438
24	30	958.968994	1.567967
25	30	944.378723	1.471935
26	0	894.264282	1.142086
27	30	839.280273	0.780186
28	30	932.538940	1.394007
29	30	897.193481	1.161366
30	23	970.131470	1.641438
