M1	M2	min_distance	min_distance_zscore
0	28	110.912239	-4.013868
3	28	461.521271	-1.706190
4	21	520.640442	-1.317073
5	6	306.974487	-2.723404
6	5	306.974487	-2.723404
7	6	503.180847	-1.431991
8	27	233.986389	-3.203805
13	30	101.031525	-4.078903
14	13	251.861877	-3.086150
15	14	299.367279	-2.773474
16	17	327.055969	-2.591229
17	18	290.478699	-2.831978
18	29	178.820831	-3.566900
21	22	400.480713	-2.107954
22	21	400.480713	-2.107954
23	22	406.143738	-2.070680
24	25	457.436646	-1.733075
25	26	256.264465	-3.057173
26	25	256.264465	-3.057173
27	8	233.986389	-3.203805
28	0	110.912239	-4.013868
29	18	178.820831	-3.566900
30	13	101.031525	-4.078903
