9:14,24,25:0.00000
19:11:0.00000
7:7,9:0.75570
15:7:0.00000
6,8:9:0.55740
6:48:0.00000
11,84:33,40,41,42:0.16760
11:82:0.00000
55:9:0.00000
66:78:0.37470
78:65,66:0.43800
80:46:0.00000
46:7,9:0.00000
10:7,8:0.44620
14,24,25:55,56:0.00000
14,15,25:65,66:0.00000
19:82:0.15950
7:64:0.00000
84:64:-0.42140
6,8:78:0.00000
81:55:0.00000
8:7:0.61810
6:46:0.00000
15:7,8:0.00000
8:11:0.51130
66:6:0.00000
78:11,84:0.00000
7,8:11,84:0.33990
80:19:0.00000
46:64:-0.24350
10:8:0.40400
14,15,25:48:0.00000
33,40,41,42:65,66:0.00000
19:9:0.00000
7:81:0.00000
84:48:0.27350
81:33,40,41,42:0.00000
6:11,84:0.38810
15:9:0.00000
8:48:0.00000
55:11:0.00000
14,20,25:7,9:0.00000
7,8:9:0.51130
46:55:0.00000
64:48:-0.27530
66:55,56:0.68000
65,66:82:0.14850
80:14,24,25:0.00000
48:65,66:0.00000
9:7,9:0.75570
6:84:0.24560
7:65,66:0.00000
11,84:82:-0.12810
10:80:0.00000
66:11:0.00000
14,15,25:6,8:0.00000
80:7,9:0.00000
10:14,24,25:0.00000
14,15,25:55:0.00000
19:14,20,25:0.69270
7:48:0.00000
84:55:0.00000
15:84:0.00000
6,8:65,66:0.00000
81:84:-0.14650
8:6,8:0.81740
6:7,9:0.61920
11,84:9:0.55040
15:14,20,25:0.90480
11:48:0.00000
55:33,40,41,42:0.00000
14,20,25:11,84:0.00000
66:19:0.00000
78:9:0.00000
80:64:0.47480
46:48:0.54180
10:55:0.00000
14,15,25:14,24,25:0.97620
19:55,56:0.00000
7:46:0.00000
84:14,24,25:0.00000
6,8:11,84:0.38190
81:11,84:-0.07320
6:64:0.00000
15:55,56:0.00000
8:14,20,25:0.00000
14,20,25:65,66:0.00000
66:8:0.00000
7,8:55:0.00000
80:15:0.00000
64:14,20,25:0.00000
10:6:0.43640
14,15,25:66:0.00000
84:7,9:0.28500
81:14,24,25:0.42660
15:33,40,41,42:0.00000
8:82:0.00000
14,20,25:48:0.00000
7,8:65,66:0.00000
64:7,9:0.00000
66:7,9:0.00000
14,15,25:84:0.00000
80:65,66:0.00000
10:48:0.00000
9:48:0.00000
7:14,24,25:0.00000
6,8:7,9:0.59190
11,84:55,56:0.00000
11:14,24,25:0.00000
66:14,20,25:0.00000
78:55,56:0.43330
14,15,25:15:0.95240
80:55:0.18160
10:65,66:0.00000
14,24,25:65,66:0.00000
14,15,25:7,8:0.00000
19:64:0.00000
7:11,84:0.30410
84:11,84:0.81720
6,8:14,24,25:0.00000
81:46:0.20580
8:15:0.00000
6:55,56:0.00000
15:11:0.00000
11:7,9:0.56950
8:7,8:0.80900
55:14,24,25:0.00000
14,20,25:55:0.00000
66:81:0.00000
78:33,40,41,42:0.00000
80:7:0.00000
46:82:0.15410
10:11,84:0.54830
14,15,25:33,40,41,42:0.00000
7,9:65,66:0.00000
33,40,41,42:7,9:0.00000
19:7,9:0.00000
7:84:0.17560
84:65,66:0.00000
6,8:55:0.00000
81:48:0.22250
6:14,20,25:0.00000
15:82:0.25320
8:33,40,41,42:0.00000
14,20,25:14,24,25:0.97620
78:7,8:0.00000
7,8:7,9:0.66020
80:6,8:0.00000
46:11:0.00000
64:11:0.00000
10:7:0.48840
14,15,25:10:0.00000
48:55,56:0.00000
6,8:84:0.24290
81:65,66:0.00000
6:6,8:0.81740
8:55,56:0.00000
7,8:14,24,25:0.00000
64:55,56:0.40380
66:48:0.00000
14,15,25:7:0.00000
80:9:0.00000
10:7,9:0.59300
14,15,25:11:0.00000
48:33,40,41,42:0.00000
9:82:0.00000
19:11,84:0.00000
7:33,40,41,42:0.00000
15:81:0.35510
6,8:48:0.00000
6:9:0.60360
11,84:7,9:0.42730
11:65,66:0.00000
55:48:0.00000
66:64:0.34540
78:82:0.22140
80:11,84:0.00000
46:33,40,41,42:0.00000
10:46:0.00000
14,15,25:78:0.00000
19:46:0.00000
7:55:0.00000
84:78:0.00000
15:6:0.00000
6,8:64:0.00000
81:64:0.09130
8:19:0.00000
6:82:0.00000
15:46:0.00000
8:78:0.00000
55:65,66:0.74410
66:6,8:0.00000
78:14,20,25:0.00000
80:84:0.00000
46:55,56:0.00000
10:15:0.00000
14,15,25:9:0.00000
7,9:14,24,25:0.00000
33,40,41,42:55,56:0.00000
19:48:0.00000
84:9:0.39440
81:7,9:0.00000
6:11:0.53050
15:48:0.00000
8:9:0.51130
55:11,84:0.00000
14,20,25:33,40,41,42:0.00000
7,8:48:0.00000
46:14,20,25:0.00000
64:9:0.00000
10:84:0.39900
66:65,66:0.91570
48:82:0.21760
9:33,40,41,42:0.00000
6,8:7:0.62640
6:81:0.00000
64:82:0.27480
10:66:0.00000
66:11,84:0.00000
14,15,25:6:0.00000
80:33,40,41,42:0.00000
55,56:65,66:0.71840
10:55,56:0.00000
14,15,25:14,20,25:0.95240
9:55,56:0.00000
19:55:0.00000
7:9:0.51130
84:14,20,25:0.00000
15:19:0.65380
6,8:82:0.00000
81:19:0.24290
8:6:0.63480
6:33,40,41,42:0.00000
11,84:48:0.13670
15:55:0.00000
11:9:0.70640
55:7,9:0.00000
14,20,25:11:0.00000
66:46:0.00000
78:48:0.00000
80:78:0.36940
46:9:0.00000
10:64:0.00000
14,15,25:82:0.30080
19:65,66:0.00000
7:7,8:0.80900
84:7,8:0.20790
6,8:46:0.00000
81:14,20,25:0.43750
8:81:0.00000
6:78:0.00000
15:64:0.00000
11:11,84:0.81720
8:11,84:0.37570
66:15:0.00000
78:11:0.00000
7,8:11:0.47200
80:8:0.00000
46:7,8:0.00000
64:7,8:0.00000
10:6,8:0.42020
14,15,25:80:0.00000
33,40,41,42:82:0.00000
84:33,40,41,42:0.33510
81:55,56:0.00000
15:7,9:0.00000
8:65,66:0.00000
14,20,25:9:0.00000
7,8:82:0.00000
80:66:0.00000
64:33,40,41,42:0.00000
66:14,24,25:0.00000
80:55,56:0.09080
6:19:0.00000
7:82:0.00000
84:19:0.00000
11,84:65,66:0.00000
66:55:0.66740
14,15,25:8:0.00000
80:14,20,25:0.00000
10:82:0.00000
14,15,25:64:0.00000
19:7,8:0.00000
7:11:0.43260
84:11:0.63430
6,8:55,56:0.00000
81:78:-0.00080
6:14,24,25:0.00000
15:11,84:0.00000
11:33,40,41,42:0.00000
8:64:0.00000
55:55,56:0.78430
66:84:0.00000
78:7,9:0.00000
80:7,8:0.00000
46:65,66:0.00000
10:14,20,25:0.00000
14,15,25:55,56:0.00000
7,9:82:0.00000
19:14,24,25:0.71220
7:78:0.00000
84:55,56:0.00000
6,8:11:0.52090
81:11:0.00000
6:7,8:0.63480
15:14,24,25:0.92860
8:55:0.00000
14,20,25:82:0.30080
7,8:14,20,25:0.00000
80:6:0.00000
46:78:0.00000
64:55:0.48260
10:81:0.00000
6,8:19:0.00000
81:82:0.35030
8:14,24,25:0.00000
7,8:55,56:0.00000
64:14,24,25:0.00000
66:33,40,41,42:0.00000
14,15,25:19:0.69270
80:82:0.15410
10:9:0.69760
48:7,9:0.00000
9:65,66:0.00000
7:55,56:0.00000
