M1	M2	min_distance	min_distance_zscore
0	1	107.434990	-3.591118
1	2	45.905632	-3.953776
2	1	45.905632	-3.953776
3	2	180.303467	-3.161626
4	21	520.640442	-1.155658
5	6	306.974487	-2.415019
6	5	306.974487	-2.415019
7	6	503.180847	-1.258566
8	27	233.986389	-2.845216
11	12	77.697861	-3.766390
12	11	77.697861	-3.766390
13	12	92.798416	-3.677387
14	13	251.861877	-2.739856
15	14	299.367279	-2.459856
16	17	327.055969	-2.296657
17	18	290.478699	-2.512246
18	19	178.959702	-3.169547
19	20	50.290493	-3.927932
20	19	50.290493	-3.927932
21	20	55.226944	-3.898836
22	21	400.480713	-1.863887
23	22	406.143738	-1.830509
24	25	457.436646	-1.528185
25	26	256.264465	-2.713907
26	25	256.264465	-2.713907
27	8	233.986389	-2.845216
