M1	M2	max_distance	max_distance_zscore
0	11	940.631958	1.319800
1	11	961.103943	1.440463
2	11	899.026672	1.074576
3	11	908.163757	1.128430
4	11	862.895020	0.861613
5	12	919.393738	1.194620
6	12	940.770325	1.320615
7	11	841.947632	0.738148
8	11	845.228271	0.757484
11	23	981.794250	1.562413
12	23	971.095520	1.499354
13	24	871.449280	0.912033
14	11	919.310181	1.194128
15	11	932.995605	1.274791
16	11	932.906982	1.274268
17	11	884.451477	0.988668
18	11	844.386780	0.752524
19	11	897.454590	1.065310
20	11	889.331177	1.017430
21	11	813.043152	0.567783
22	0	851.996216	0.797375
23	11	981.794250	1.562413
24	12	957.424255	1.418775
25	12	940.013184	1.316153
26	11	909.955994	1.138994
27	12	834.756714	0.695764
